Column1
"country;team_size;industry;external_ partners;project_distribution;work_setup;working_method;Role;relationship_team_customer;communication_inside_team;communication_team_and_other_teams;team_meetings;user_feedback;v_28;top1_problem;top2_problem;top3_problem;top4_problem;top5_problem"
"Germany;20;Security;Yes;Yes;Approximately half on-site and half from home;Plan-driven;Other (please specify);Neutral;Good;Good;Weekly;Never;not quoted;Targets are moving (changing goals"
"Sweden;5;Automotive;No;No;Almost completely on-site;Agile;Developer;Good;Good;Good;Weekly;Bi-weekly;not quoted;Lack of trust between our project team members;Lack of communication between project team and end users;Gold plating (implementation of features without corresponding requirements);Communication flaws within the project team;Changes in requirements not communicated"
"Germany;8;Manufacturing;Yes;Yes;Approximately half on-site and half from home;Hybrid;Project Lead / Project Manager;Good;Neutral;Neutral;Weekly;Bi-weekly;Agile;An important stakeholder is not represented in our project;Incomplete or hidden requirements;Changes in requirements not communicated;Insufficient support by project lead;Inconsistent requirements"
"Germany;25;Manufacturing;Yes;Yes;Almost completely on-site;Agile;Product Owner;Very good;Good;Bad;Almost daily;Monthly;Agile;Lack of communication between project team and end users;Targets are moving (changing goals"
"Argentina;25;Human resources;Yes;Yes;Almost completely from home;Rather plan-driven;Architect;Neutral;Good;Neutral;Almost daily;Monthly;not quoted;Communication flaws between the project and the customer;Lack of communication between project team and end users;Incomplete or hidden requirements;Inconsistent requirements;Weak access to customer needs and / or (internal) business information"
"Germany;7;Automotive;No;No;Approximately half on-site and half from home;Plan-driven;Project Lead / Project Manager;Good;Very good;Good;Almost daily;Other (please specify);Agile;Language barriers;Problems with terminology;Targets are moving (changing goals"
"Sweden;20;Avionics;Yes;Yes;Mostly from home;Agile;Business Analyst;Very good;Very good;Good;Almost daily;Other (please specify);Agile;Lack of communication between project team and end users;Communication flaws between the project and the customer;Insufficient support by project lead;Weak access to customer needs and / or (internal) business information;Weak knowledge about customer's application domain"
"Poland;5;Telecommunication;Yes;No;Mostly on-site;Rather agile;Requirements Engineer;Neutral;Neutral;Neutral;Almost daily;Monthly;Agile;Lack of trust between our project team members;Lack of communication between project team and end users;Lack of commitment to shared goals within project;Weak knowledge about customer's application domain;We do not have enough time to carry out tasks"
"United States;250;Public sector;Yes;Yes;Almost completely from home;Hybrid;Project Lead / Project Manager;Neutral;Neutral;Neutral;Weekly;Almost daily;not quoted;Requirements are not traceable;Changes in requirements not communicated;No use of standard format for documenting requirements;Inconsistent requirements;Lack of commitment to shared goals within project"
"Sweden;15;Aerospace;No;Yes;Mostly on-site;Rather plan-driven;Developer;Good;Good;Neutral;Almost daily;Monthly;Agile;We do not have enough time to carry out tasks;Our team's responsibilities are unclear;Communication channels used in our project are ineffective;Lack of commitment to shared goals within project;Communication flaws within the project team"
"Spain;4;e-Commerce;Yes;Yes;Almost completely on-site;Rather agile;Developer;Neutral;Good;Good;Almost daily;Weekly;Agile;Inconsistent requirements;Incomplete or hidden requirements;Underspecified requirements that are too abstract and allow for various interpretations;Changes in requirements not communicated;Gold plating (implementation of features without corresponding requirements)"
"Turkey;25+;Other (please specify);Yes;Yes;Almost completely from home;Agile;Business Analyst;Very good;Very good;Good;Bi-weekly;Bi-weekly;Agile;Targets are moving (changing goals"
"Turkey;10;Games engineering;Yes;Yes;Almost completely from home;Agile;Developer;Neutral;Very good;Good;Almost daily;Never;Agile;Targets are moving (changing goals"
"Turkey;16;Finance;Yes;Yes;Almost completely from home;Agile;Developer;Good;Good;Good;Almost daily;I don't know;Agile;Weak knowledge about customer's application domain;Insufficient support by project lead;Communication flaws within the project team;Communication flaws between the project and the customer;Lack of commitment to shared goals within project"
"Spain;20;Other (please specify);Yes;Yes;Approximately half on-site and half from home;Plan-driven;Developer;Good;Neutral;Bad;Weekly;I don't know;Agile;Communication flaws between the project and the customer;Changes in requirements not communicated;Unclear or unmeasurable non-functional requirements;Inconsistent requirements;Internal or external constraints are not considered"
"Turkey;10;Telecommunication;Yes;Yes;Approximately half on-site and half from home;Hybrid;Developer;Good;Very good;Neutral;Almost daily;Weekly;Agile;Technically unfeasible requirements;Incomplete or hidden requirements;Weak access to customer needs and / or (internal) business information;We do not have enough time to carry out tasks;No use of standard format for documenting requirements"
"Spain;10;Railway;Yes;Yes;Mostly from home;Rather agile;Scrum Master;Good;Very good;Neutral;Almost daily;Monthly;Agile;Lack of communication between project team and end users;Weak knowledge about customer's application domain;Communication flaws between the project and the customer;Weak access to customer needs and / or (internal) business information;Targets are moving (changing goals"
"Spain;14;Public sector;Yes;Yes;Almost completely on-site;Rather plan-driven;Other (please specify);Neutral;Neutral;Neutral;Weekly;Bi-weekly;not quoted;Weak knowledge about customer's application domain;Weak access to customer needs and / or (internal) business information;Lack of communication between project team and end users;Targets are moving (changing goals"
