team_customer_relationship,failed_documentation,team_communication,industry,common_problem,country,team_size,external_partners,project_distribution,work,project_method,meeting_frequency,user_feedback_frequency
1,Yes,1,Avionics,Miscommunication,Italy,5,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Automotive,Miscommunication,Italy,4,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
4,No,5,Aerospace,Changing Requirements,Argentina,1,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
5,Yes,5,Automotive,Miscommunication,Italy,5,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Automotive,Resource Constraints,Italy,4,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
5,No,5,Aerospace,Miscommunication,Argentina,3,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Resource Constraints,Argentina,3,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Inadequate Documentation,Argentina,2,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Inadequate Documentation,Argentina,2,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
5,No,5,Aerospace,Miscommunication,Estonia,3,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Inadequate Documentation,Estonia,4,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Miscommunication,Argentina,4,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Inadequate Documentation,Argentina,4,Yes,Yes,Approximately half on-site and half from home,Agile,Monthly,Monthly
1,Yes,1,Aerospace,Inadequate Documentation,Argentina,4,Yes,Yes,Approximately half on-site and half from home,Agile,Monthly,Monthly
1,Yes,1,Aerospace,Miscommunication,Argentina,3,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
5,No,5,Aerospace,Resource Constraints,Argentina,1,Yes,Yes,Approximately half on-site and half from home,Hybrid,Other (Please specify),Other (Please specify)
5,No,5,Aerospace,Resource Constraints,Argentina,1,Yes,Yes,Approximately half on-site and half from home,Hybrid,Other (Please specify),Other (Please specify)
1,Yes,1,Aerospace,Miscommunication,Argentina,15,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Miscommunication,Argentina,3,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Miscommunication,Argentina,3,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Miscommunication,Germany,1,Yes,Yes,Mostly on-site,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Miscommunication,Argentina,2,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Miscommunication,Argentina,3,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Miscommunication,Argentina,5,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Miscommunication,Argentina,4,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Miscommunication,Argentina,2,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Miscommunication,Argentina,2,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Miscommunication,Argentina,3,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Miscommunication,Argentina,1,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Changing Requirements,Argentina,3,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Miscommunication,Argentina,3,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Miscommunication,Argentina,9,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Miscommunication,Argentina,3,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Miscommunication,Argentina,4,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Miscommunication,Argentina,2,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Miscommunication,Argentina,2,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Miscommunication,Argentina,1,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Miscommunication,Argentina,4,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Miscommunication,Argentina,9,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Miscommunication,Argentina,1,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Miscommunication,Argentina,1,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Miscommunication,Argentina,1,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Miscommunication,Argentina,1,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Miscommunication,Argentina,1,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Communication flaws between the project and the customers,Argentina,1,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Communication flaws within the project team,Argentina,1,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Communication flaws within the project team,Argentina,1,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Communication flaws within the project team,Argentina,1,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Problems with terminology,Argentina,1,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Communication flaws within the project team,Argentina,1,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Communication flaws within the project team,Argentina,1,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Communication flaws within the project team,Argentina,2,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Communication flaws within the project team,Argentina,1,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Communication flaws within the project team,Argentina,1,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Communication flaws within the project team,Argentina,2,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Enterprise resource planning,Weak knowledge about customer's application domain,Argentina,1,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Enterprise resource planning,Weak knowledge about customer's application domain,Argentina,1,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Automotive,Weak knowledge about customer's application domain,Argentina,3,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Communication flaws within the project team,Argentina,1,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Weak knowledge about customer's application domain,Argentina,1,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Weak knowledge about customer's application domain,Argentina,2,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Weak access to customer needs and / or (internal) stakeholders,Argentina,1,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Communication flaws within the project team,Argentina,1,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Communication flaws within the project team,Argentina,2,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Communication flaws within the project team,Argentina,2,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Communication flaws within the project team,Argentina,4,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Communication flaws within the project team,Argentina,1,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Communication flaws within the project team,Argentina,3,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Communication flaws within the project team,Argentina,7,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Communication flaws within the project team,Argentina,1,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Communication flaws within the project team,Argentina,1,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Communication flaws within the project team,Argentina,2,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Communication flaws within the project team,Argentina,5,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Communication flaws within the project team,Argentina,4,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Communication flaws within the project team,Germany,4,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Communication flaws within the project team,Germany,4,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Communication flaws within the project team,Germany,2,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Communication flaws within the project team,Germany,8,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Communication flaws within the project team,Germany,4,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Communication flaws within the project team,Germany,6,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Communication flaws within the project team,Argentina,5,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Communication flaws within the project team,Argentina,5,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Communication flaws within the project team,Argentina,5,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Communication flaws within the project team,Argentina,1,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Communication flaws within the project team,Argentina,4,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
5,Yes,5,Aerospace,Communication flaws within the project team,Argentina,5,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
5,Yes,5,Aerospace,Communication flaws within the project team,Argentina,5,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
1,Yes,1,Aerospace,Communication flaws within the project team,Argentina,3,Yes,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily
