team_customer_relationship,failed_documentation,team_communication,industry,common_problem,country,team_size,project_distribution,work,project_method,meeting_frequency,user_feedback_frequency
Yes,1,Security,Targets are moving,Germany,200,Yes,Approximately half on-site and half from home,Plan-driven,Weekly,Never,Yes,
Yes,1,Automotive,Lack of trust between our project team members,Sweden,50,No,Almost completely on-site,Agile,Weekly,Bi-weekly,No,,
No,5,Manufacturing,An important stakeholder is not represented in our project,Germany,80,Yes,Approximately half on-site and half from home,Hybrid,Weekly,Bi-weekly,Yes,,
Yes,5,Manufacturing,Lack of communication between project team and end users,Germany,250,Yes,Almost completely on-site,Agile,Almost daily,Monthly,Yes,,
Yes,1,Human resources,Communication flaws between the project and the customer,Argentina,250,Yes,Almost completely from home,Rather plan-driven,Almost daily,Monthly,Yes,,
No,5,Automotive,Language barriers,Germany,70,No,Approximately half on-site and half from home,Plan-driven,Almost daily,Other (please specify),No,,
Yes,1,Avionics,Lack of communication between project team and end users,Sweden,200,Yes,Mostly from home,Agile,Almost daily,Other (please specify),Yes,,
Yes,1,Telecommunication,Lack of trust between our project team members,Poland,50,No,Mostly on-site,Rather agile,Almost daily,Monthly,Yes,,
Yes,1,Public sector,Requirements are not traceable,United States,2500,Yes,Almost completely from home,Hybrid,Weekly,Almost daily,Yes,,
No,5,Aerospace,We do not have enough time to carry out tasks,Sweden,150,Yes,Mostly on-site,Rather plan-driven,Almost daily,Monthly,No,,
Yes,1,e-Commerce,Inconsistent requirements,Spain,40,Yes,Almost completely on-site,Rather agile,Almost daily,Weekly,Yes,,
Yes,1,Other (please specify),Targets are moving,Turkey,250,Yes,Almost completely from home,Agile,Bi-weekly,Bi-weekly,Yes,
Yes,1,Games engineering,Targets are moving,Turkey,100,Yes,Almost completely from home,Agile,Almost daily,Never,Yes,
Yes,1,Finance,Weak knowledge about customer's application domain,Turkey,160,Yes,Almost completely from home,Agile,Almost daily,I don't know,Yes,,
Yes,1,Other (please specify),Communication flaws between the project and the customer,Spain,200,Yes,Approximately half on-site and half from home,Plan-driven,Weekly,I don't know,Yes,,
No,5,Telecommunication,Technically unfeasible requirements,Turkey,100,Yes,Approximately half on-site and half from home,Hybrid,Almost daily,Weekly,Yes,,
No,5,Railway,Lack of communication between project team and end users,Spain,100,Yes,Mostly from home,Rather agile,Almost daily,Monthly,Yes,,
Yes,1,Public sector,Weak knowledge about customer's application domain,Spain,140,Yes,Almost completely on-site,Rather plan-driven,Weekly,Bi-weekly,Yes,,
Yes,1,Logistics,Communication flaws between the project and the customer,Spain,200,Yes,Mostly from home,Hybrid,Weekly,Bi-weekly,Yes,,
Yes,1,Other (please specify),Gold plating (implementation of features without corresponding requirements),Spain,120,Yes,Almost completely from home,Rather agile,Almost daily,Almost daily,Yes,,
Yes,1,Finance,We do not have enough time to carry out tasks,Turkey,250,No,Almost completely from home,Hybrid,Monthly,Almost daily,Yes,,
Yes,1,Finance,Insufficient support by project lead,Turkey,300,Yes,Almost completely from home,Rather agile,Almost daily,Bi-weekly,Yes,,
Yes,1,Aerospace,Inconsistent requirements,Spain,200,Yes,Approximately half on-site and half from home,Plan-driven,Weekly,Bi-weekly,Yes,,
Yes,1,Other (please specify),Gold plating (implementation of features without corresponding requirements),Spain,50,Yes,Almost completely from home,Agile,Weekly,Weekly,No,,
Yes,1,Other (please specify),Communication flaws between the project and the customer,Spain,150,Yes,Mostly from home,Hybrid,Weekly,Never,Yes,,
Yes,1,Healthcare,Our requirements engineers lack enthusiasm or commitment to do requirements analysis,Spain,300,Yes,Approximately half on-site and half from home,Hybrid,Almost daily,Other (please specify),No,,
Yes,1,Other (please specify),Communication flaws between the project and the customer,Spain,90,Yes,Almost completely from home,Agile,Almost daily,Weekly,No,,
Yes,1,Healthcare,Communication flaws within the project team,Spain,150,Yes,Almost completely from home,Rather agile,Weekly,Weekly,Yes,,
Yes,1,Other (please specify),Communication channels used in our project are ineffective,Spain,4000,Yes,Approximately half on-site and half from home,Plan-driven,Weekly,I don't know,Yes,,
Yes,1,Other (please specify),Targets are moving,Spain,100,Yes,Almost completely from home,Agile,Weekly,Monthly,No,
Yes,1,Security,Incomplete or hidden requirements,Italy,100,Yes,Approximately half on-site and half from home,Rather agile,Almost daily,Monthly,Yes,,
Yes,1,e-Commerce,Communication flaws between the project and the customer,Portugal,100,Yes,Almost completely from home,Agile,Almost daily,Monthly,No,,
Yes,1,Other (please specify),Lack of commitment to shared goals within project,Turkey,60,Yes,Almost completely from home,I don't know,Weekly,Almost daily,Yes,,
Yes,1,Avionics,Communication flaws between the project and the customer,Turkey,200,Yes,Almost completely on-site,I don't know,Weekly,I don't know,Yes,,
Yes,1,Energy,Communication flaws between the project and the customer,Nigeria,30,No,Approximately half on-site and half from home,Plan-driven,Bi-weekly,Never,No,,
Yes,1,Manufacturing,Changes in requirements not communicated,Turkey,40,No,Mostly from home,Hybrid,Bi-weekly,Monthly,Yes,,
Yes,1,Education,Communication flaws within the project team,Nigeria,120,Yes,Mostly from home,Agile,Bi-weekly,Monthly,Yes,,
Yes,1,Finance,Technically unfeasible requirements,Nigeria,60,Yes,Mostly from home,Hybrid,Almost daily,Almost daily,Yes,,
Yes,1,Manufacturing,Communication flaws within the project team,Turkey,10,No,Approximately half on-site and half from home,Hybrid,Bi-weekly,Monthly,No,,
Yes,1,Agriculture,We do not have enough time to carry out tasks,Nigeria,40,No,Mostly from home,Plan-driven,Weekly,Almost daily,No,,
Yes,1,Agriculture,Problems with terminology,Nigeria,1000,Yes,Almost completely on-site,Agile,Bi-weekly,Weekly,No,,
Yes,1,e-Commerce,Inconsistent requirements,Turkey,50,Yes,Almost completely from home,Rather agile,Bi-weekly,Bi-weekly,No,,
Yes,1,Education,Lack of communication between project team and end users,Turkey,180,Yes,Approximately half on-site and half from home,Plan-driven,Weekly,I don't know,Yes,,
Yes,1,Telecommunication,Internal or external constraints are not considered,Turkey,300,Yes,Almost completely from home,Agile,Almost daily,Almost daily,Yes,,
Yes,1,Human resources,Our team's responsibilities are unclear,Spain,100,Yes,Mostly from home,Rather agile,Almost daily,Bi-weekly,No,,
Yes,1,Finance,Inconsistent requirements,Estonia,100,Yes,Mostly on-site,Hybrid,Bi-weekly,Monthly,No,,
Yes,1,Automotive,Language barriers,United States,280,Yes,Mostly from home,Agile,Almost daily,Bi-weekly,Yes,,
Yes,1,Finance,Requirements are not traceable,Switzerland,200,Yes,Mostly from home,Rather agile,Weekly,Monthly,Yes,,
Yes,1,e-Government,Communication flaws between the project and the customer,Pakistan,100,No,Mostly on-site,Hybrid,Other (Please specify),Other (please specify),No,,
Yes,1,Finance,Targets are moving,Spain,120,No,Mostly on-site,Agile,Almost daily,Weekly,No,
Yes,1,Automotive,Inconsistent requirements,Germany,200,Yes,Approximately half on-site and half from home,Rather plan-driven,Bi-weekly,Monthly,Yes,,
Yes,1,Railway,Incomplete or hidden requirements,Austria,120,Yes,Approximately half on-site and half from home,Rather agile,Almost daily,I don't know,No,,
Yes,1,Telecommunication,Communication flaws between the project and the customer,Sweden,500,Yes,Approximately half on-site and half from home,Rather plan-driven,Weekly,Other (please specify),Yes,,
Yes,1,Automotive,Targets are moving,United States,40,Yes,Almost completely from home,Agile,Almost daily,Weekly,No,
