team_customer_relationship,team_communication,assumption,failed_documentation,role,industry,common_problem,country,team_size,project_distribution,work,project_method,meeting_frequency,user_feedback_frequency,external_partners,top2,top3,top4,top5,requirements_elicitation,elicitation_techniques,explicit_distinction,requirements_documentation,no_documentation_reasons,non_functional_requirements
3,4,Make a reasonable assumption myself and proceed.,I do not document requirements.,Other (please specify),Security,Targets are moving,Germany,20,Yes,Approximately half on-site and half from home,Plan-driven,Weekly,Never,Yes,Incomplete or hidden requirements,Lack of communication between project team and end users,Problems with terminology,Unclear or unmeasurable non-functional requirements,Waterfall: we elicit and / or refine requirements in a specifically dedicated project phase before proceeding to the next project phase.,Analysis of existing documents/ Risk analyses/ Prototyping/ Workshops and focus groups/ (Requirements) Reuse databases and guidelines/ Design Thinking/ Observations/ Other,Architectural constraints/ Formal properties of the system/ Functional properties of the system/ Goals/ Quality properties of the system/ System behaviour/ Technical interfaces/ User interface(s)/ Acceptance criteria,Activity diagrams/ Class diagrams/ Sequence diagrams/ State machines/ Structured lists of requirements/ Use case diagrams/ Acceptance Criteria (Given-When-Then)/ Other (please specify),I didn't need to document it. I know it.,Compatibility/ Maintainability/ Performance efficiency/ Reliability/ Safety/ Security/ Usability/ External or internal constraints
4,4,I do not know.,Yes,Developer,Automotive,Lack of trust between our project team members,Sweden,5,No,Almost completely on-site,Agile,Weekly,Bi-weekly,No,Lack of communication between project team and end users,Gold plating (implementation of features without corresponding requirements),Communication flaws within the project team,Changes in requirements not communicated,I don't know,Prototyping,System behaviour,Activity diagrams,I knew colleagues would complain / hate / ridicule me.,Performance efficiency
4,3,Ask the customer/end user/ or both what should be assumed before proceeding.,Yes,Project Lead / Project Manager,Manufacturing,An important stakeholder is not represented in our project,Germany,8,Yes,Approximately half on-site and half from home,Hybrid,Weekly,Bi-weekly,Yes,Incomplete or hidden requirements,Changes in requirements not communicated,Insufficient support by project lead,Inconsistent requirements,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Analysis of existing documents/ Prototyping/ Workshops and focus groups/ Observations,Goals/ Rules , business rules)/ Stakeholders/ Technical interfaces,Business process models/ Goal models/ Natural language / plain text/ Prototypes / user screens/ Informal sketches / wireframes / mind maps,I didn't need to document it. I know it.
5,4,Ask the customer/end user/or both what should be assumed before proceeding.,No,Product Owner,Manufacturing,Lack of communication between project team and end users,Germany,25,Yes,Almost completely on-site,Agile,Almost daily,Monthly,Yes,Targets are moving,Incomplete or hidden requirements,Lack of trust between our project team members and stakeholder or customer,Weak access to customer needs and / or (internal) business information,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Analysis of existing documents/ Prototyping/ Workshops and focus groups/ Observations/ Usage data analysis (e.g. event logs),Architectural constraints/ Functional properties of the system/ Goals/ Quality properties of the system/ Stakeholders/ System behaviour/ Usage scenarios/ User interface(s)/ Internal or external constraints  laws)/ Acceptance criteria,Prototypes / user screens/ User stories/ Informal sketches / wireframes / mind maps/ Other (please specify),,Performance efficiency/ Usability/ External or internal constraints
4,5,Make a reasonable assumption myself and proceed.,No,Project Lead / Project Manager,Automotive,Language barriers,Germany,25,No,Approximately half on-site and half from home,Plan-driven,Almost daily,Other (please specify),No,Problems with terminology,Targets are moving,Internal or external constraints are not considered,Weak access to customer needs and / or (internal) business information,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Analysis of existing documents/ Risk analyses/ Prototyping/ Workshops and focus groups/ Usage data analysis (e.g. event logs),Architectural constraints/ Development process aspects/ Functional properties of the system/ Goals/ Quality properties of the system/ Rules , business rules)/ Stakeholders/ System behaviour/ Technical interfaces/ Usage scenarios/ User interface(s)/ Acceptance criteria,Business process models/ Natural language / plain text/ Prototypes / user screens/ Structured lists of requirements/ Use case diagrams/ Use cases/ User stories/ Acceptance Criteria (Given-When-Then),My colleagues told me not to waste any (more) time on documentation.
5,5,Ask the customer/end user/or both what should be assumed before proceeding.,No,Business Analyst,Avionics,Lack of communication between project team and end users,Sweden,7,Yes,Mostly from home,Agile,Almost daily,Other (please specify),Yes,Communication flaws between the project and the customer,Insufficient support by project lead,Weak access to customer needs and / or (internal) business information,Weak knowledge about customer's application domain,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Analysis of existing documents/ Workshops and focus groups/ (Requirements) Reuse databases and guidelines/ Usage data analysis (e.g. event logs),Architectural constraints/ Development process aspects/ Formal properties of the system/ Functional properties of the system/ Goals/ Quality properties of the system/ Rules , business rules)/ Stakeholders/ System behaviour/ Technical interfaces/ Usage scenarios/ User interface(s)/ Internal or external constraints (e.g. laws)/ Acceptance criteria,Business process models/ Structured lists of requirements/ Use case diagrams/ Use cases/ User stories/ Acceptance Criteria (Given-When-Then),
3,3,Make a reasonable assumption myself and proceed.,Yes,Requirements Engineer,Telecommunication,Lack of trust between our project team members,Poland,20,Yes,Mostly on-site,Rather agile,Almost daily,Monthly,Yes,Lack of communication between project team and end users,Lack of commitment to shared goals within project,Weak knowledge about customer's application domain,We do not have enough time to carry out tasks,Agile: we elicit and / or refine requirements in several iterations.,Prototyping,Goals,Goal models/ Informal sketches / wireframes / mind maps,,Performance efficiency
3,3,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Project Lead / Project Manager,Public sector,Requirements are not traceable,United States,5,Yes,Almost completely from home,Hybrid,Weekly,Almost daily,Yes,Changes in requirements not communicated,No use of standard format for documenting requirements,Inconsistent requirements,Lack of commitment to shared goals within project,Waterfall: we elicit and / or refine requirements in a specifically dedicated project phase before proceeding to the next project phase.,Analysis of existing documents/ Prototyping/ (Requirements) Reuse databases and guidelines,Architectural constraints/ Development process aspects/ Formal properties of the system/ Functional properties of the system/ Goals/ Quality properties of the system/ Rules , business rules)/ Stakeholders/ System behaviour/ Technical interfaces/ Usage scenarios/ User interface(s)/ Internal or external constraints (e.g. laws)/ Acceptance criteria,Natural language / plain text/ State machines/ Structured lists of requirements/ Use cases/ Acceptance Criteria (Given-When-Then)/ Informal sketches / wireframes / mind maps,
4,4,Make a reasonable assumption myself and proceed.,Yes,Developer,Aerospace,We do not have enough time to carry out tasks,Sweden,250,No,Mostly on-site,Rather plan-driven,Almost daily,Monthly,No,Our team's responsibilities are unclear,Communication channels used in our project are ineffective,Lack of commitment to shared goals within project,Communication flaws within the project team,Agile: we elicit and / or refine requirements in several iterations.,Risk analyses/ Workshops and focus groups/ (Requirements) Reuse databases and guidelines/ Design Thinking,Architectural constraints/ Formal properties of the system/ Functional properties of the system/ Quality properties of the system/ System behaviour/ Technical interfaces/ User interface(s)/ Internal or external constraints  laws)/ Acceptance criteria,Natural language / plain text/ Sequence diagrams/ State machines/ Structured lists of requirements/ Use case diagrams,,
3,4,Make a reasonable assumption myself and proceed.,No,Developer,e-Commerce,Inconsistent requirements,Spain,15,Yes,Almost completely on-site,Rather agile,Almost daily,Weekly,Yes,Incomplete or hidden requirements,Underspecified requirements that are too abstract and allow for various interpretations,Changes in requirements not communicated,Gold plating (implementation of features without corresponding requirements),Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Prototyping/ Observations,Architectural constraints/ Development process aspects/ Goals/ Rules , business rules)/ Technical interfaces/ Usage scenarios/ User interface(s),Activity diagrams/ Class diagrams,I didn't need to document it. I know it.
